,UTC Time,Lat,Long,Depth,Mag,Network,RMS,ERH,ERZ,GAP,Q,Int,nStat,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Color
0,2020-01-03 18:14,17.9345,-66.9021,6.0,2.39 md,RSPR,0.14,0.63,0.3,209.0,B,I,13,2020-01-03 18:14,17.9345,-66.9021,6.0,2.39,md,13.0,209.0,0.0466,0.14,pr,pr2020003019,2020-03-21T17:13:07.040Z,"15km S of Guanica, Puerto Rico",earthquake,0.63,0.3,0.31,13,reviewed,pr,pr,Amarillo
1,2020-01-04 03:48,18.0286,-66.8476,7.0,1.57 md,RSPR,0.07,2.69,1.46,305.0,B,I,3,2020-01-04 03:48,18.3886,-68.11,155.0,3.3,md,14.0,200.0,0.6309,0.58,pr,pr2020004064,2020-03-21T17:13:21.040Z,"35km SSE of Punta Cana, Dominican Republic",earthquake,6.0,2.99,0.32,11,reviewed,pr,pr,Amarillo
2,2020-01-06 10:32,17.8675,-66.8193,6.0,5.8 mwp,RSPR,0.29,1.7,1.14,227.0,C,VII,19,2020-01-06 10:32,17.8675,-66.8193,6.0,5.8,mwp,19.0,227.0,0.1231,0.29,pr,pr2020006006,2020-03-21T17:13:07.040Z,"9km SE of Indios, Puerto Rico",earthquake,1.7,1.14,0.0,0,reviewed,pr,pr,Amarillo
3,2020-01-07 08:24,17.9578,-66.8113,6.0,6.4 md,RSPR,0.25,1.26,2.11,208.0,C,VIII,11,2020-01-07 08:24,17.8686,-66.8266,8.95,6.4,mww,,25.0,0.117,0.64,us,us70006vll,2021-02-19T19:18:47.483Z,"13km S of Indios, Puerto Rico",earthquake,2.5,2.1,0.049,40,reviewed,us,us,Amarillo
4,2020-01-07 08:47,17.944000000000003,-66.7665,13.0,0.00 md,RSPR,0.2,1.57,1.24,275.0,C,I,4,2020-01-07 08:47,18.2017,-66.7874,10.0,2.9,ml,,105.0,0.081,0.8,us,usa0006blz,2020-03-21T17:13:11.040Z,"5km NNE of Adjuntas, Puerto Rico",earthquake,1.3,2.0,0.085,18,reviewed,us,us,A verde
5,2020-01-07 09:41,18.0146,-66.834,3.0,0.00 md,RSPR,0.09,0.49,0.45,176.0,A,I,7,2020-01-07 09:41,18.0146,-66.8278,10.0,4.1,ml,9.0,176.0,0.2211,0.17,pr,pr2020007008,2020-03-21T17:13:16.040Z,"3km ESE of Indios, Puerto Rico",earthquake,0.59,0.84,0.0,0,reviewed,pr,pr,Amarillo
6,2020-01-07 09:41,18.0146,-66.8278,10.0,4.1 ml,RSPR,0.17,0.59,0.84,176.0,B,III,9,2020-01-07 09:41,18.0146,-66.8278,10.0,4.1,ml,9.0,176.0,0.2211,0.17,pr,pr2020007008,2020-03-21T17:13:16.040Z,"3km ESE of Indios, Puerto Rico",earthquake,0.59,0.84,0.0,0,reviewed,pr,pr,Amarillo
7,2020-01-07 11:18,18.0223,-66.77600000000001,9.0,5.6 mwp,RSPR,0.08,0.84,1.26,177.0,A,VII,10,2020-01-07 11:18,18.0223,-66.776,9.0,5.6,mwp,10.0,177.0,0.171,0.08,pr,pr2020007010,2020-04-03T19:31:30.671Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,0.84,1.26,0.0,0,reviewed,pr,pr,Amarillo
8,2020-01-08 02:17,18.0148,-66.8286,7.0,2.10 md,RSPR,0.11,0.53,1.35,176.0,A,I,8,2020-01-08 02:17,18.0148,-66.8286,7.0,2.1,md,8.0,176.0,0.2203,0.11,pr,pr2020008167,2020-10-17T17:38:39.427Z,"2 km NNW of Indios, Puerto Rico",earthquake,0.53,1.35,0.34,4,reviewed,pr,pr,Amarillo
9,2020-01-11 12:08,17.9435,-66.9973,10.0,2.10 md,RSPR,0.11,0.72,0.53,226.0,B,I,12,2020-01-11 12:08,17.9435,-66.9973,10.0,2.1,md,12.0,226.0,0.0536,0.11,pr,pr2020011020,2020-04-02T21:28:16.040Z,"5km ESE of La Parguera, Puerto Rico",earthquake,0.72,0.53,0.07,4,reviewed,pr,pr,Amarillo
10,2020-01-11 12:54,17.949,-66.8508,5.0,5.9 mwp,RSPR,0.31,1.11,1.58,199.0,C,VIII,12,2020-01-11 12:54,17.949,-66.8508,5.0,5.9,mwp,12.0,199.0,0.1945,0.31,pr,pr2020011010,2020-04-02T21:28:15.040Z,"10km SSE of Indios, Puerto Rico",earthquake,1.11,1.58,0.0,0,reviewed,pr,pr,Amarillo
11,2020-01-11 22:11,18.0048,-66.714,14.0,2.59 md,RSPR,0.23,0.65,1.01,182.0,C,I,13,2020-01-11 22:11,18.0048,-66.714,14.0,2.59,md,13.0,182.0,0.1143,0.23,pr,pr2020011144,2020-04-02T21:28:17.040Z,"2km SE of Tallaboa, Puerto Rico",earthquake,0.65,1.01,0.34,8,reviewed,pr,pr,Amarillo
12,2020-01-15 15:36,17.9155,-67.0171,5.0,5.2 mwp,RSPR,0.18,1.15,0.42,245.0,C,VI,13,2020-01-15 15:36,17.9155,-67.0171,5.0,5.2,mwp,13.0,245.0,0.0604,0.18,pr,pr2020015008,2020-04-08T19:40:10.040Z,"6km WSW of Guanica, Puerto Rico",earthquake,1.15,0.42,0.0,0,reviewed,pr,pr,Amarillo
13,2020-01-19 19:07,18.8573,-67.2236,15.0,2.52 md,RSPR,0.18,0.8,1.49,268.0,C,I,11,2020-01-19 19:07,18.8573,-67.2236,15.0,2.52,md,11.0,268.0,0.4057,0.18,pr,pr2020019046,2020-04-08T19:39:54.040Z,"41km NNW of San Antonio, Puerto Rico",earthquake,0.8,1.49,0.25,7,reviewed,pr,pr,Amarillo
14,2020-01-24 12:24,17.947,-65.3751,10.0,2.79 md,RSPR,0.37,3.62,31.61,333.0,C,I,5,2020-01-24 12:24,17.947,-65.3751,10.0,2.79,md,5.0,333.0,0.5123,0.37,pr,pr2020024006,2020-04-11T18:20:44.040Z,"32km SSW of Esperanza, Puerto Rico",earthquake,3.62,31.61,0.35,4,reviewed,pr,pr,Amarillo
15,2020-01-26 02:48,17.9311,-66.9036,9.0,1.35 md,RSPR,0.06,1.43,0.56,223.0,B,I,6,2020-01-26 02:48,17.9435,-68.3823,12.0,4.03,md,11.0,334.0,1.005,0.33,pr,pr2020026002,2020-04-11T18:20:51.040Z,"67km SE of Boca de Yuma, Dominican Republic",earthquake,15.54,22.37,0.01,5,reviewed,pr,pr,Amarillo
16,2020-01-29 11:07,18.1738,-68.523,84.0,3.11 md,RSPR,0.24,5.12,4.58,341.0,C,I,7,2020-01-29 11:07,18.1738,-68.523,84.0,3.11,md,7.0,341.0,1.0648,0.24,pr,pr2020029037,2020-04-18T22:09:58.040Z,"39km S of Boca de Yuma, Dominican Republic",earthquake,5.12,4.58,0.13,2,reviewed,pr,pr,Amarillo
